Date,Open,High,Low,Close,Adj Close,Volume,Symbol,Industry
2018-01-02,48.380001068115234,49.04666519165039,48.30666732788086,48.68000030517578,39.68903350830078,3377250.0,PCAR,Industrials
2018-01-03,48.31333160400391,49.29333114624024,48.27999877929688,49.27333450317383,40.17277145385742,2142900.0,PCAR,Industrials
2018-01-04,49.459999084472656,50.459999084472656,49.33333206176758,49.900001525878906,40.68369674682617,4642650.0,PCAR,Industrials
2018-01-05,50.21333312988281,50.24666595458984,49.62666702270508,50.06666564941406,40.819583892822266,3036750.0,PCAR,Industrials
2018-01-08,49.90666580200195,50.15999984741211,49.81333160400391,49.90666580200195,40.68913269042969,3113400.0,PCAR,Industrials
2018-01-09,49.90666580200195,50.06666564941406,49.633331298828125,49.88666534423828,40.67282104492188,4304550.0,PCAR,Industrials
2018-01-10,49.88666534423828,50.00666809082031,49.25333404541016,49.40666580200195,40.2814826965332,4463400.0,PCAR,Industrials
2018-01-11,49.573333740234375,50.48666763305664,49.459999084472656,50.380001068115234,41.07504653930664,4179150.0,PCAR,Industrials
2018-01-12,50.473331451416016,51.06666564941406,50.25333404541016,50.93333435058594,41.52617645263672,3460800.0,PCAR,Industrials
2018-01-16,51.01333236694336,51.20000076293945,50.33333206176758,50.64666748046875,41.29246139526367,4521900.0,PCAR,Industrials
2018-01-17,50.97999954223633,51.220001220703125,50.51333236694336,51.026668548583984,41.6022834777832,2240100.0,PCAR,Industrials
2018-01-18,50.93333435058594,51.619998931884766,50.84000015258789,50.93333435058594,41.52617645263672,2507100.0,PCAR,Industrials
2018-01-19,51.11333465576172,51.7599983215332,50.9466667175293,51.67333221435547,42.129512786865234,2943000.0,PCAR,Industrials
2018-01-22,51.68000030517578,51.82666778564453,51.21333312988281,51.7599983215332,42.20016098022461,3516300.0,PCAR,Industrials
2018-01-23,51.54666519165039,51.75333404541016,51.13999938964844,51.573333740234375,42.047977447509766,1622550.0,PCAR,Industrials
2018-01-24,51.77333450317383,52.25333404541016,51.69333267211914,52.19333267211914,42.55346298217773,3106200.0,PCAR,Industrials
2018-01-25,52.27333450317383,52.43999862670898,51.35333251953125,51.47999954223633,41.97188186645508,3848550.0,PCAR,Industrials
2018-01-26,51.72666549682617,52.526668548583984,51.41999816894531,52.473331451416016,42.78175354003906,2932050.0,PCAR,Industrials
2018-01-29,52.26666641235352,53.12666702270508,52.16666793823242,52.66666793823242,42.93936920166016,5498550.0,PCAR,Industrials
2018-01-30,51.0,51.20000076293945,48.040000915527344,50.49333190917969,41.16744995117188,8811900.0,PCAR,Industrials
2018-01-31,50.81999969482422,51.33333206176758,49.29333114624024,49.706668853759766,40.52606964111328,4809750.0,PCAR,Industrials
2018-02-01,49.36000061035156,50.03333282470703,49.27333450317383,49.81333160400391,40.61303329467773,2964600.0,PCAR,Industrials
2018-02-02,49.573333740234375,49.71333312988281,48.31999969482422,48.400001525878906,39.46073532104492,2917050.0,PCAR,Industrials
2018-02-05,48.400001525878906,48.633331298828125,46.12666702270508,46.133331298828125,37.61271667480469,4335300.0,PCAR,Industrials
2018-02-06,44.97999954223633,46.86000061035156,44.880001068115234,46.70000076293945,38.0747184753418,4903350.0,PCAR,Industrials
2018-02-07,46.473331451416016,47.106666564941406,45.7599983215332,45.79333114624024,37.33549880981445,4500750.0,PCAR,Industrials
2018-02-08,45.71333312988281,46.12666702270508,44.6533317565918,44.6533317565918,36.406063079833984,4900650.0,PCAR,Industrials
